vtd_2020,vtd_2024,percent_intersection
2400301-011,2400301-011,0.9721261563356767
2400302-008,2400302-008,0.9986789779661769
2400302-021,2400302-021,0.8052554853622991
2400302-021,2400302-017,0.19265485884074973
2400302-009,2400302-009,0.999231326
2400302-016,2400302-016,0.9986338762410157
2400302-010,2400302-010,0.999195638
2400302-022,2400302-022,0.9998151630518358
2400302-006,2400302-006,0.9989577430469146
2400302-003,2400302-003,0.9993600682724707
2400302-005,2400302-005,0.9992116772097188
2400302-014,2400302-014,0.9991161626479452
2400302-011,2400302-011,0.9991738979788929
2400302-017,2400302-017,0.9990720319468918
2400302-012,2400302-012,0.9989184050590562
2400302-002,2400302-002,0.9991671842947543
2400302-001,2400302-007,0.39265284893292046
2400302-001,2400302-001,0.606896279
2400302-013,2400302-013,0.9988332790751805
2400302-019,2400302-019,0.9992986753692392
2400302-018,2400302-013,0.21521090026369877
2400302-018,2400302-018,0.7826372869391164
2400302-015,2400302-015,0.9987525211567855
2400303-025,2400303-025,0.9987978959231779
2400303-003,2400303-003,0.9996000543029017
2400303-013,2400303-013,0.9996800117723769
2400303-010,2400303-010,0.999345866
2400303-016,2400303-016,0.9971180953810117
2400303-014,2400303-002,1
2400303-017,2400303-017,0.999182341
2400303-012,2400303-012,0.9998080113740834
2400303-023,2400303-023,0.9994535163438845
2400304-001,2400304-001,0.9994652598843399
2400304-020,2400304-020,0.9992494704544184
2400304-014,2400306-017,0.9998598001137903
2400304-015,2400306-011,0.9996845878216817
2400304-025,2400304-013,0.999643047
2400304-016,2400304-016,0.9991908704292304
2400304-003,2400304-003,0.563777552
2400304-003,2400305-036,0.43539735582329087
2400304-002,2400304-002,0.5316190524198604
2400304-002,2400305-032,0.090973265
2400304-002,2400305-025,0.3770913255064525
2400304-018,2400304-018,0.8510812923681623
2400304-018,2400304-008,0.036133083469293996
2400304-018,2400304-015,0.11245572028582135
2400304-017,2400304-017,0.9979743429935981
2400304-023,2400304-018,0.2595039062201228
2400304-023,2400304-023,0.7397734578860389
2400305-032,2400305-012,0.9991276632269092
2400305-017,2400305-017,0.9995023060924147
2400305-022,2400305-018,0.9995119123805053
2400305-019,2400305-015,0.33144662178418166
2400305-019,2400305-019,0.6677181069801877
2400305-007,2400305-007,0.998718119
2400305-005,2400305-005,0.5656726335139945
2400305-005,2400305-023,0.4338916028918097
2400305-034,2400305-034,0.9987448243355649
2400305-012,2400305-012,0.9996348220110014
2400305-016,2400305-016,0.9998049543429093
2400305-003,2400305-003,0.999350019
2400305-029,2400305-029,0.9992461383343031
2400305-002,2400305-002,0.9973738753617278
2400305-031,2400305-031,0.999140392
2400306-008,2400306-008,0.9975869748605145
2400306-001,2400306-001,0.9959923905523448
2400306-013,2400306-013,0.9841320416597826
2400306-013,2400306-010,0.014890362616601758
2400306-018,2400306-018,0.9966307862869495
2400306-025,2400306-025,0.9997471817053993
2400306-026,2400306-019,0.9999155041227574
2400306-003,2400306-010,0.017918636913320747
2400306-003,2400306-003,0.9812020784660443
2400306-032,2400306-032,0.9997128325039156
2400306-010,2400306-019,0.015612539448578436
2400306-010,2400306-010,0.9622593216441497
2400306-012,2400306-012,0.999435767
2400306-004,2400306-004,0.9458543535713186
2400306-004,2400306-009,0.052841759
2400306-021,2400306-021,0.7477429194889481
2400306-021,2400306-032,0.251893786
2400307-016,2400307-015,0.9993286293509815
2400307-027,2400307-011,0.9951039692544313
2400307-003,2400307-003,0.9998906017056003
2400307-006,2400307-006,0.9995920097365858
2400307-001,2400307-001,0.9997951325961862
2400307-002,2400307-002,0.9993172446910678
2400307-015,2400307-015,0.9994968328392146
2400307-012,2400307-012,0.9991291276816974
2400307-005,2400307-005,0.9997479832483132
2400307-013,2400307-013,0.9988901063006201
2400301-005,2400301-005,0.9991778469900551
2400305-009,2400305-009,0.9998022499718269
2400303-001,2400303-001,0.9989799761736271
2400301-022,2400301-021,0.9995616476943611
2400301-015,2400301-015,0.9991409460177118
2400301-016,2400301-016,0.9992907990989841
2400301-021,2400301-020,0.9986933835597624
2400301-020,2400301-005,0.9993081507779354
2400302-007,2400302-007,0.9990847831718651
2400302-024,2400302-024,0.9993945846603937
2400302-023,2400302-023,0.9993548815526697
2400302-004,2400302-024,0.082577645
2400302-004,2400302-004,0.9169640199793948
2400302-020,2400302-020,0.999063822
2400303-020,2400303-020,0.9990724441681977
2400303-006,2400303-014,0.3441009796607781
2400303-006,2400303-006,0.5873957253875522
2400303-006,2400303-008,0.068440688
2400303-004,2400303-004,0.9992085658446339
2400303-021,2400303-021,0.9991068198302402
2400303-022,2400303-022,0.9991950257191471
2400303-015,2400303-015,0.9995857467705619
2400303-024,2400303-024,0.9998925512746722
2400303-002,2400303-002,1
2400303-007,2400303-007,0.9995093796467689
2400303-005,2400303-005,0.9993715809792502
2400303-018,2400303-018,0.9994812004603686
2400303-019,2400303-019,0.9995769296692403
2400303-011,2400303-011,0.9998743501289592
2400303-009,2400303-009,0.9992780684263772
2400303-008,2400303-014,0.3891365540381692
2400303-008,2400303-008,0.6107312756398371
2400304-021,2400304-021,0.6077516345586449
2400304-021,2400304-015,0.12971138873028065
2400304-021,2400304-014,0.25517699321087034
2400304-026,2400304-002,0.9630673558357691
2400304-026,2400305-032,0.036102593
2400301-026,2400304-004,0.999198015
2400304-013,2400305-030,0.083502609
2400304-013,2400305-022,0.9129777270601386
2400304-022,2400304-022,0.998154794
2400304-007,2400304-007,0.9943019983040996
2400304-005,2400304-005,0.9985464304899531
2400304-009,2400304-009,0.9995667318397999
2400304-006,2400304-006,0.9986477660196084
2400304-008,2400304-008,0.17430526471733918
2400304-008,2400305-036,0.8254514893460538
2400304-012,2400304-012,0.9988737302440753
2400304-010,2400304-010,0.9949179302791902
2400304-004,2400306-034,0.11507070933072054
2400304-004,2400305-030,0.072018532
2400304-004,2400305-022,0.1068344486457969
2400304-004,2400306-033,0.21941880239186154
2400304-004,2400305-037,0.011130836150659613
2400304-004,2400306-026,0.4753503219409661
2400304-024,2400304-024,0.9984487534496519
2400304-019,2400304-019,0.9987178223190194
2400305-025,2400305-019,0.999106566
2400305-013,2400305-013,0.9999932852801336
2400305-020,2400305-020,0.999742981
2400305-018,2400305-018,0.9995718146912421
2400305-001,2400305-001,0.9995753582985527
2400305-027,2400305-027,0.9983270541845861
2400305-023,2400305-023,0.98400679
2400305-023,2400305-003,0.015845642609814824
2400305-008,2400305-008,0.9990959409391837
2400305-006,2400305-006,0.9990739277910679
2400305-030,2400305-029,0.9719760913569939
2400305-030,2400303-009,0.027651414
2400305-021,2400305-021,0.9993347575018967
2400305-026,2400305-026,0.8669991418097422
2400305-026,2400305-035,0.13233432841356163
2400305-010,2400305-010,0.9991542818913344
2400305-014,2400305-014,0.9934095840693076
2400305-004,2400305-004,0.9999438958117542
2400305-033,2400305-033,0.9992331302982715
2400305-024,2400305-024,0.9875550819047292
2400305-024,2400305-029,0.012278991410938465
2400305-011,2400305-011,0.9998169796838576
2400305-015,2400305-015,0.9984511078112798
2400305-028,2400305-028,0.9990872550827277
2400306-011,2400306-001,0.9998960024974478
2400306-030,2400306-007,0.011458682617656426
2400306-030,2400306-030,0.9880661914567008
2400306-029,2400306-029,0.9994734371557544
2400306-024,2400306-024,0.9991830688318196
2400306-014,2400306-014,0.9632600266478805
2400306-014,2400306-009,0.011148003625690954
2400306-014,2400306-010,0.024401159588420256
2400306-028,2400306-028,0.9996569845605174
2400306-023,2400306-023,0.9985061848198853
2400306-031,2400306-031,0.9999116376264644
2400306-005,2400306-009,0.021457168355966807
2400306-005,2400306-005,0.9777962933186013
2400306-022,2400306-022,0.9987790970829663
2400306-002,2400306-002,0.9899094883518406
2400306-006,2400306-006,0.997337551
2400306-019,2400306-019,0.9993106584596924
2400306-027,2400306-027,0.9997062923313119
2400306-016,2400306-016,0.9992459465574953
2400306-017,2400306-007,0.9505747498536138
2400306-017,2400306-023,0.016897873
2400306-017,2400306-030,0.016742455
2400306-017,2400306-009,0.015098658047436824
2400306-009,2400306-009,0.9927484487590347
2400306-015,2400306-015,0.9951702188644348
2400306-007,2400306-007,0.9985603393004314
2400307-023,2400307-023,0.9996120482162991
2400307-009,2400307-009,0.9998562580711752
2400307-004,2400307-004,0.9997436670348733
2400307-014,2400307-016,0.1510498385405234
2400307-014,2400307-014,0.8478263815079865
2400307-024,2400307-024,0.9986937745127447
2400307-010,2400307-010,0.9996152566752932
2400307-025,2400307-025,0.9997790376172561
2400307-021,2400307-021,0.9998321451687553
2400307-018,2400307-018,0.9986086907577167
2400307-007,2400307-007,0.999874657
2400307-022,2400307-022,0.999783359
2400307-026,2400307-016,0.055882806
2400307-026,2400307-014,0.9439602052877681
2400307-020,2400307-020,0.9981193192427211
2400307-019,2400307-019,0.9997475507535379
2400307-011,2400307-007,0.999656961
2400307-008,2400307-008,0.999887943
2400304-011,2400304-011,0.9987656805041905
2400306-020,2400306-020,0.9944865694960816
2400307-017,2400307-017,0.9991998778173447
2400305-035,2400305-035,0.998844375
2451014-005,2451014-005,0.9999998597348626
2451014-004,2451014-004,0.9991000607054633
2451016-003,2451016-003,0.9999998233509512
2451003-002,2451003-002,0.9990422625752534
2451003-001,2451003-001,0.9998001457817529
2451027-058,2451027-058,0.9999996756248325
2451015-009,2451015-009,0.999116538
2451026-032,2451026-032,0.9943344415089599
2451026-033,2451026-033,0.9983295179410727
2451016-002,2451016-002,0.9999950755476954
2451028-007,2451028-007,0.9999997902610723
2451015-002,2451015-002,0.9999991899963129
2451015-003,2451015-003,0.915066009
2451015-003,2451015-004,0.085118661
2451027-048,2451027-048,0.9999971602884661
2451026-027,2451026-027,0.9999997862396556
2451012-009,2451012-008,0.83343863
2451012-009,2451012-009,0.1649180924159372
2451012-011,2451012-008,0.19659294681428616
2451012-011,2451012-010,0.1389383578838263
2451012-011,2451012-012,0.27843809680380194
2451012-011,2451012-011,0.38572948212707714
2451021-001,2451021-001,0.9999997063649801
2451021-004,2451021-004,0.9601354962708301
2451021-004,2451021-003,0.040272053415628714
2451015-025,2451015-025,0.9999997844051963
2451015-007,2451015-007,0.9999965209184235
2451026-030,2451026-030,0.9999872352811137
2451014-002,2451014-002,0.9981184781786148
2451011-002,2451011-002,0.9983820478225839
2451007-004,2451007-004,0.9999982089015996
2451027-042,2451027-042,0.999767946
2451026-011,2451026-014,0.5585937394430461
2451026-011,2451026-011,0.44049142439013794
2451015-005,2451015-005,0.9999998916583095
2451026-015,2451026-015,0.9999997929908011
2451028-010,2451028-010,0.9970594901699624
2451028-015,2451028-015,0.9942814523159721
2451019-002,2451019-002,0.9990043879568801
2451006-004,2451006-004,0.999987639
2451006-005,2451006-005,0.9999978094576959
2451002-002,2451002-002,0.9999997779543613
2451001-003,2451001-003,0.9999997423043261
2451002-003,2451002-003,0.9999954879068403
2451013-003,2451013-004,0.5136750403389305
2451013-003,2451013-003,0.48468318130812615
2451027-036,2451027-036,0.995577074
2451027-041,2451027-040,0.5476177345242164
2451027-041,2451027-041,0.4518304927803793
2451027-031,2451027-031,0.9999998543912761
2451027-043,2451027-043,0.9978547170814243
2451027-045,2451027-045,0.9983251524466684
2451025-001,2451025-001,0.9999998941191797
2451027-035,2451027-035,0.9996501528103686
2451028-014,2451028-014,0.9999870132883762
2451025-002,2451025-002,0.998599882
2451020-008,2451020-008,0.9999998532058837
2451020-007,2451020-007,0.9999997344551098
2451025-008,2451025-008,0.9991208847394217
2451025-009,2451025-009,0.9999999772129288
2451025-011,2451025-011,0.9986428332211308
2451027-038,2451027-038,0.6043882884905651
2451027-038,2451027-037,0.39548841557659403
2451025-018,2451025-017,0.9907336295143223
2451015-006,2451015-006,0.9999998693893937
2451015-013,2451015-013,0.9999997089726177
2451016-011,2451016-011,0.9999997483015058
2451012-008,2451012-008,0.9999998584645595
2451012-012,2451012-012,0.7581174268947658
2451012-012,2451011-003,0.011034907777965964
2451012-012,2451012-011,0.22335392017014694
2451007-002,2451007-002,0.999999816
2451027-030,2451027-030,0.9999998046316564
2451027-028,2451027-028,0.9999997195903213
2451027-024,2451027-024,0.9927413605064535
2451012-001,2451012-001,0.990522778
2451009-001,2451009-001,0.9981290536277297
2451012-005,2451012-005,0.9999901359723015
2451012-006,2451012-006,0.999130992
2451016-009,2451016-009,0.9998582296525291
2451015-020,2451015-020,0.9999981389346099
2451016-008,2451016-008,0.9987344736489109
2451015-016,2451015-016,0.9999915484610453
2451009-014,2451009-014,0.8024535990072243
2451009-014,2451009-013,0.1958515417383565
2451026-012,2451026-012,0.9999997568441877
2451009-004,2451009-004,0.9999991718205854
2451012-007,2451012-007,0.9986254046509592
2451009-009,2451009-009,0.999749021
2451015-017,2451015-017,0.9996975495586548
2451015-018,2451015-018,0.9988945952918037
2451011-006,2451011-006,0.8043493371930683
2451011-006,2451011-005,0.18978954358448835
2451010-004,2451010-004,0.9928392880862974
2451009-012,2451009-012,0.3688076020076431
2451009-012,2451009-008,0.630532334
2451027-029,2451027-029,0.9982505165283563
2451024-004,2451024-004,0.9980687444636589
2451024-001,2451024-001,0.9999767236476609
2451027-065,2451027-065,0.9997715762813788
2451027-064,2451027-064,0.9975227947686568
2451027-050,2451027-050,0.9994012987590949
2451027-063,2451027-063,0.987805809
2451027-063,2451027-064,0.010198092564333721
2451027-057,2451027-057,0.9999982867308645
2451027-020,2451027-020,0.9991479191230812
2451027-022,2451027-022,0.9999118479837895
2451020-005,2451020-005,0.9874714033987124
2451020-001,2451020-001,0.9992657288402862
2451020-009,2451020-009,0.9998506798323601
2451009-013,2451009-013,0.9968897818643251
2451008-004,2451008-004,0.9964297513653847
2451006-002,2451006-002,0.9998704653503692
2451026-019,2451026-019,0.9996588285068766
2451026-013,2451026-013,0.9992064179347212
2451027-015,2451027-015,0.9999898800857462
2451027-017,2451027-017,0.079597627
2451027-017,2451027-018,0.919164579
2451027-004,2451027-004,0.9981877667535561
2451009-006,2451009-006,0.9999999097397736
2451009-007,2451009-007,0.21600172742764412
2451009-007,2451009-006,0.782667151
2451020-011,2451020-011,0.9996059958631563
2451010-001,2451010-001,0.9999941339351672
2451005-002,2451005-002,0.9784885887198951
2451005-002,2451005-001,0.020391639867568936
2451008-008,2451008-008,0.9989971131298035
2451027-067,2451027-067,0.9997943007609994
2451028-001,2451028-001,0.9996534170203618
2451028-006,2451028-006,0.9999959940525918
2451008-001,2451008-001,0.9973153915139843
2451008-002,2451008-002,0.9999996288897911
2451026-020,2451026-020,0.9968441520369599
2451026-001,2451026-001,0.9999997010295487
2451009-010,2451009-010,0.9999998390553859
2451027-061,2451027-061,0.9965105512665487
2451027-014,2451027-014,0.9997705789678909
2451013-006,2451013-006,0.9992507814427235
2451013-007,2451013-007,0.9999997590018789
2451023-002,2451023-002,0.9999954581443905
2451028-005,2451028-005,0.9988865554961186
2451008-003,2451008-003,0.9998868431854634
2451026-007,2451026-007,0.9999683486361768
2451026-008,2451026-008,0.9999991012489389
2451026-009,2451026-009,0.9999998593867812
2451025-017,2451025-017,1
2451028-002,2451028-002,0.9999534122576407
2451027-047,2451027-047,0.9973407409531749
2451015-010,2451015-010,0.9947732226041599
2451027-007,2451027-007,0.9997207953051954
2451027-027,2451027-027,0.9999946039664928
2451026-005,2451026-005,0.9994944369146106
2451027-002,2451027-002,0.997812173
2451012-013,2451012-004,0.5333597472153561
2451012-013,2451012-008,0.16618171343609994
2451012-013,2451012-003,0.3008835550198329
2451011-004,2451011-004,0.971012547
2451011-004,2451011-005,0.028987391369955498
2451020-012,2451020-009,0.023681659
2451015-011,2451015-011,0.9885070906537252
2451016-014,2451016-014,0.9997435903029014
2451018-002,2451018-002,0.9999973076495003
2451025-014,2451025-014,0.9999918819503264
2451008-005,2451008-005,0.9999943270061878
2451008-006,2451008-006,0.9999998240315449
2451013-004,2451013-004,0.9999978788877475
2451015-012,2451015-012,0.9999997076154451
2451004-002,2451004-002,0.8839274344405136
2451004-002,2451004-001,0.11512781575900224
2451001-005,2451001-005,0.9999998154431069
2451001-004,2451001-004,0.9999998311356507
2451013-011,2451013-011,0.9998816159251888
2451027-034,2451027-034,0.9998520380599194
2451028-013,2451028-013,0.9988539527418602
2451020-006,2451020-006,0.9999968697464443
2451021-005,2451021-001,0.9997340007190864
2451025-013,2451025-013,0.9978610378405443
2451012-004,2451012-004,0.9999908810928947
2451025-003,2451025-017,0.3194067612256912
2451025-003,2451025-003,0.6801728075666039
2451015-014,2451015-014,0.9999989030567088
2451012-010,2451012-010,0.9997844283860836
2451008-007,2451008-007,0.9999998081614857
2451006-003,2451006-003,0.999995734
2451027-026,2451027-026,0.9997294213204979
2451009-002,2451009-002,0.9999996591083499
2451009-003,2451009-003,0.9647064434420645
2451009-003,2451009-010,0.035293354
2451016-010,2451016-010,0.9999997770935833
2451015-015,2451015-015,0.9999996747721258
2451016-006,2451016-006,0.9999998500647851
2451011-001,2451011-001,0.9972230854438164
2451002-001,2451002-001,0.999999592
2451009-005,2451009-005,0.9998901648009128
2451009-011,2451009-011,0.9973366826963689
2451016-007,2451016-007,0.9894517496665505
2451011-007,2451011-007,0.9999998454202496
2451009-008,2451009-012,0.3278094087514929
2451009-008,2451009-008,0.6628210947683615
2451027-021,2451027-021,0.8565981928585344
2451027-021,2451027-019,0.1426147757107417
2451027-019,2451027-019,0.9972053865080935
2451020-003,2451020-003,0.9999960306918396
2451020-010,2451020-010,0.9999997721049888
2451009-015,2451009-015,0.9999998962306439
2451026-018,2451026-018,0.9944187819395839
2451027-018,2451027-017,0.8010100092872848
2451027-018,2451027-018,0.1985072110448449
2451027-016,2451027-016,0.9999398141694303
2451027-025,2451027-025,0.9665291649873138
2451027-025,2451027-017,0.033074141892485864
2451020-002,2451020-002,0.997099397
2451010-003,2451010-003,0.984785429
2451013-013,2451013-011,0.030510845073151542
2451013-013,2451013-012,0.9736537001710687
2451027-062,2451027-062,0.9954356961020594
2451027-056,2451027-056,0.9999997096558243
2451026-003,2451026-003,0.9987828821376322
2451019-003,2451019-003,0.9999996184665335
2451007-001,2451007-001,0.9999890469236676
2451027-066,2451027-066,0.9982837143863538
2451027-033,2451027-033,0.9979697040090323
2451022-001,2451022-001,0.9975922111936443
2451027-037,2451027-037,0.9999776106099849
2451026-014,2451026-014,0.999999871
2451026-006,2451026-006,0.9980335716632653
2451026-002,2451026-002,0.999119994
2451026-004,2451026-004,0.9999946860064758
2451027-051,2451027-051,0.9999981827319842
2451026-021,2451026-021,0.9903876961666378
2451026-022,2451026-022,0.9999996856331883
2451013-002,2451013-002,0.9999978518879659
2451004-003,2451004-003,0.9991269294989822
2451027-023,2451027-023,0.9999934944901563
2451015-022,2451015-022,0.9999978028548817
2451013-005,2451013-005,0.9927205217469002
2451020-004,2451020-004,0.999772992
2451015-004,2451015-004,0.9999998013712099
2451026-024,2451026-024,0.99645396
2451026-017,2451026-017,0.9999995660365655
2451008-009,2451008-009,0.9562707507357585
2451008-009,2451008-008,0.043729311
2451024-002,2451024-002,0.9999996616753819
2451016-004,2451016-004,0.9987053497628864
2451010-002,2451010-002,0.9999865377412541
2451027-003,2451027-003,0.9964041860686016
2451015-019,2451015-019,0.98060117
2451015-019,2451015-018,0.019398429
2451012-002,2451012-002,0.9924039347945142
2451027-013,2451027-013,0.9990319563102417
2451027-011,2451027-011,0.999998383
2451027-010,2451027-010,0.9999999603302369
2451027-008,2451027-008,0.999661404
2451013-008,2451013-008,0.9949431730837714
2451013-009,2451013-009,0.9999944063136907
2451013-010,2451013-010,0.9961180262044195
2451016-005,2451016-005,0.9999994738607657
2451004-001,2451004-001,0.9998787586167796
2451005-001,2451005-001,0.9965038157565833
2451003-003,2451003-003,0.9999998594869219
2451027-039,2451027-034,0.4343193337167462
2451027-039,2451027-039,0.5639216365529456
2451027-040,2451027-040,0.8808569813227264
2451027-040,2451027-041,0.11875798112724324
2451027-060,2451027-060,0.9972059591910163
2451028-004,2451028-004,0.9999997007419534
2451027-001,2451027-001,0.9999996957273397
2451026-023,2451026-023,0.9998645230030063
2451016-001,2451016-001,0.9999913937644788
2451014-003,2451014-003,0.9999937235760747
2451024-003,2451024-003,0.9999999371872416
2451015-001,2451015-001,0.9999998443737933
2451028-008,2451028-008,0.9999993755740698
2451027-053,2451027-053,0.9999932673003384
2451027-055,2451027-055,0.4527852910150178
2451027-055,2451027-054,0.547027183
2451027-054,2451027-054,0.9999868806731078
2451026-026,2451026-026,0.9999998497245587
2451026-029,2451026-029,0.9999719613365057
2451026-025,2451026-025,0.9998843780378608
2451026-016,2451026-016,0.9999831488851376
2451014-001,2451014-001,0.9999980062000908
2451011-003,2451011-003,0.9970562541191758
2451024-005,2451024-005,0.999241643
2451025-006,2451025-006,0.9981115407540616
2451025-004,2451025-004,0.9999238784140121
2451025-005,2451025-005,0.9999996096610755
2451025-007,2451025-007,0.9999999632942278
2451025-010,2451025-010,0.999999853
2451015-008,2451015-008,0.9999998124625553
2451027-052,2451027-053,0.066937134
2451027-052,2451027-052,0.9203100801400297
2451027-052,2451027-048,0.012716176918260463
2451026-031,2451026-031,0.9999998894979965
2451026-028,2451026-028,0.9999999410649156
2451017-001,2451017-001,0.9981625101662598
2451011-005,2451011-005,0.9989008992008939
2451017-002,2451017-002,0.997210744
2451008-010,2451008-010,0.9999998702878019
2451007-003,2451007-003,0.9999998546208066
2451006-001,2451006-002,0.8816349486999605
2451006-001,2451006-001,0.10789642668961397
2451027-044,2451027-044,0.9999952539301186
2451015-024,2451015-024,0.9997137036772635
2451015-021,2451015-021,0.9997586637163852
2451015-023,2451015-023,0.9991469212986327
2451028-009,2451028-009,0.9987280650385528
2451028-011,2451028-011,0.9897582104603541
2451028-012,2451028-012,0.9996318911582974
2451019-001,2451019-001,0.9999975384118915
2451018-001,2451018-001,0.9999984502226922
2451001-002,2451001-002,0.9999867875611163
2451021-003,2451021-003,0.9999998291077309
2451025-015,2451025-015,0.9993095469801739
2451025-012,2451025-012,0.9999993751855519
2451025-016,2400303-006,0.010583471847273278
2451025-016,2451025-016,0.99995178
2451008-011,2451008-011,0.9999998430539562
2451027-046,2451027-069,0.28480941496191076
2451027-046,2451027-046,0.7148414969599007
2451013-001,2451013-002,0.27724407483191504
2451013-001,2451013-001,0.7147773980541146
2451016-012,2451016-012,0.9972485325269392
2451016-013,2451016-013,0.9987158746595913
2451021-002,2451021-001,0.080431109
2451021-002,2451021-002,0.9195527057385074
2451001-001,2451001-001,0.9999998491058882
2451026-010,2451026-010,0.9999998550668702
2451013-012,2451013-011,0.14648834877297956
2451013-012,2451013-012,0.8477121530763913
2451012-003,2451012-003,0.9999999754565085
2451027-032,2451027-032,0.9998725663296761
2451022-002,2451022-002,0.994309373
2451023-001,2451023-001,0.9999998315758063
2451023-003,2451023-003,0.9991837334346435
2451027-059,2451027-059,0.9999997115776577
2451028-003,2451028-003,0.9999978681854544
2451027-049,2451027-049,0.9999978661316984
2451027-005,2451027-005,0.9982270280076139
2451027-012,2451027-012,0.9999998680329061
2451027-009,2451027-009,0.9996480726046653
2451027-006,2451027-006,0.9999978610914985
2400503-007,2400503-007,0.9987989006205957
2400503-002,2400503-002,0.9990466756804703
2400503-003,2400503-003,0.9990160211806297
2400506-002,2400506-002,0.9999215157375788
2400506-001,2400506-001,0.9999284388540173
2400515-002,2400515-002,0.7791267
2400515-002,2400515-001,0.2204117955066922
2400515-019,2400515-019,0.9999636889316339
2400515-001,2400515-002,0.015653289968872337
2400515-001,2400515-001,0.9843210822866537
2400515-009,2400515-009,0.9995472164189325
2400515-013,2400515-013,0.9962804599146813
2400515-008,2400515-008,0.9991360469383589
2400515-005,2400515-007,0.21628290947010817
2400515-005,2400515-027,0.2587608841571973
2400515-005,2400515-003,0.03090428
2400515-005,2400515-005,0.4934011703548219
2400515-021,2400515-021,0.9992875100032126
2400515-016,2400515-016,0.9956538367489888
2400515-011,2400515-011,0.9779190508949802
2400515-011,2400515-003,0.020509512217731708
2400515-024,2400515-024,0.9938624592228432
2400515-003,2400515-003,0.9980449809095102
2400515-012,2400515-012,0.998858153
2400515-025,2400515-025,0.9995965186239716
2400504-008,2400504-008,0.9993245695466478
2400504-001,2400504-001,0.9984696995260298
2400504-012,2400504-012,0.9995516563635777
2400504-004,2400504-004,0.9994646453239101
2400505-002,2400505-001,0.9999801691575546
2400504-006,2400504-006,0.9990992949525552
2400504-010,2400504-010,0.9746313510878073
2400504-010,2400504-007,0.024868406
2400501-012,2400501-010,0.078452364
2400501-012,2400501-012,0.921213486
2400501-015,2400501-015,0.6198001056320196
2400501-015,2400501-023,0.3794172590451843
2400501-013,2400501-013,0.2695742320989149
2400501-013,2400501-012,0.7300278991150423
2400501-006,2400501-006,0.9978629728323896
2400501-005,2400501-005,0.9876961335741649
2400501-005,2400501-001,0.012125830646750983
2400501-017,2400501-017,0.9991276635438338
